NOMINAL_SIZE,PRESSURE_RATING_IN,SEAT_LEAKAGE_CLASS,VALVE_Operation _Sec,WEIGHT_NETTO_IN_KG
12,2500,1,10,10473
12,2500,1,10,10473
12,2500,1,10,10473
12,2500,1,37,7471
12,2500,1,37,7471
12,2500,1,37,7471
12,2500,1,37,7471
12,2500,1,37,7471
12,2500,1,37,7471
1.5,2500,1,2,137
12,2500,1,10,5699
2,2500,1,2,269
1.5,2500,1,2,137
12,2500,1,10,5689
2,2500,1,2,269
1.5,2500,1,2,138
12,2500,1,10,5690
2,2500,1,2,269
6,600,1,24,455
3,600,1,3,217
2,600,1,2,114
2,600,1,2,109
6,600,1,24,430
4,600,1,4,285
2,600,1,2,109
2,600,1,2,109
4,150,0,8,167
6,150,1,6,282
4,150,0,8,146
6,300,1,6,473
2,150,1,2,92
10,150,1,44,530
10,150,1,44,530
10,150,1,44,530
10,150,1,44,530
0.5,5000,0,0.5,10
0.5,5000,0,0.5,10
12,600,0,24,1443
2,600,0,2,89
0.5,5000,0,0.5,10
0.5,5000,0,0.5,10
0.5,5000,0,0.5,10
20,600,0,40,3150
2,600,0,2,89
16,150,0,32,2285
10,150,1,20,841
10,150,1,20,841
10,150,1,20,841
10,150,1,20,841
3,150,0,3,105
10,150,0,44,517
10,150,0,44,517
10,150,0,44,518
10,150,0,44,518
10,150,0,44,518
10,150,0,44,518
10,150,0,44,518
4,300,0,4,268
2,300,0,2,74
2,300,0,2,74
4,900,1,4,275
2,300,0,2,74
2,1500,0,4,107
3,300,0,3,219
8,600,1,32,714
20,1500,0,40,8183
2,1500,0,2,144
2,600,0,2,79
2,600,0,2,89
0.5,5000,0,0.5,10
2,600,0,2,89
6,600,0,4,281
2,600,0,2,80
3,600,0,3,119
0.5,5000,0,0.5,10
3,600,0,3,88
4,1500,0,16,369
2,300,1,2,94
4,300,1,4,232
4,300,1,4,232
3,600,1,3,108
3,600,1,3,108
3,600,1,3,119
2,150,0,2,72
6,600,0,25,220
3,2500,1,3,262
6,150,0,6,282
6,150,0,6,244
6,150,0,6,245
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
2,150,0,2,72
4,150,0,4,167
6,2500,1,24,1123
6,2500,1,24,1123
6,2500,1,24,1123
6,2500,1,24,1123
6,2500,1,24,1123
6,2500,1,24,1123
8,2500,1,29,1328
3,2500,1,11,160
3,2500,1,11,160
3,2500,1,11,160
8,2500,1,29,1328
3,2500,1,11,160
3,2500,1,11,160
3,2500,1,11,160
8,2500,1,29,1328
3,2500,1,11,160
3,2500,1,11,160
3,2500,1,11,160
10,2500,1,37,3475
12,2500,1,75,4905
1.5,300,0,2,219
1.5,300,0,2,65
1.5,300,0,2,65
1.5,300,0,2,65
2,2500,1,2,234
2,600,1,22,93
2,2500,0,4,254
3,2500,0,3,261
2,150,0,2,72
2,150,0,2,72
3,150,0,3,77
20,2500,1,95,15551
2,2500,1,11,136
2,300,1,13,78
2,300,0,4,73
2,300,0,4,74
2,300,0,4,74
1.5,600,0,2,70
2,600,0,2,79
20,1500,1,75,4338
2,2500,1,2,263
6,2500,0,12,999
2,2500,1,2,269
14,2500,0,75,5312
3,2500,0,12,410
2,2500,0,4,235
2,150,1,2,92
3,150,0,13,91
2,150,0,13,76
2,150,1,2,92
3,150,0,13,76
2,150,0,13,76
2,600,0,2,88
2,2500,1,2,269
4,2500,0,8,581
4,2500,0,8,234
2,150,0,2,72
3,150,0,3,77
4,150,0,4,132
2,300,0,2,74
2,2500,1,2,263
1,150,0,1,64
2,600,1,22,93
2,600,1,22,92
6,600,0,6,310
3,300,0,3,85
2,150,0,2,61
2,2500,1,2,194
4,600,0,4,164
3,300,0,3,85
4,150,0,8,146
2,2500,1,2,194
2,150,0,2,73
3,150,1,6,95
2,150,1,2,71
1,150,0,5,30
1,150,0,5,30
1,150,0,5,30
1,150,0,5,30
2,150,0,4,67
2,150,0,2,72
1,300,0,1,65
1,150,0,1,57
2,150,1,2,92
2,150,1,2,92
2,150,0,13,76
2,150,0,2,72
2,150,0,13,76
2,150,0,2,72
2,150,0,2,15
2,150,0,12,15
2,150,0,12,15
2,150,0,12,15
2,150,0,12,15
2,150,0,2,15
2,150,0,2,15
2,150,0,2,15
1,300,0,1,65
1,150,0,1,46
3,150,0,3,77
2,2500,1,22,136
6,150,0,6,178
2,150,0,2,73
2,300,0,2,179
2,150,0,2,73
2,150,0,2,73
2,150,0,2,73
0.5,5000,0,0.5,10
3,150,0,6,120
2,150,0,2,85
2,150,0,2,92
6,600,0,12,287
4,600,0,8,303
2,600,0,2,89
4,600,0,4,164
3,600,0,6,110
2,600,0,4,89
6,2500,1,6,581
3,600,0,3,88
2,600,0,4,89
2,1500,0,2,127
10,2500,1,40,3447
6,2500,1,24,1123
4,2500,1,16,594
14,2500,1,28,14105
14,2500,0,28,7610
14,2500,1,28,12300
3,300,0,3,69
2,300,0,2,75
4,150,0,13,101
4,150,0,12,143
2,150,0,2,72
6,150,0,6,245
1,150,0,1,64
2,150,0,2,72
2,150,0,2,72
2,150,0,13,76
2,150,0,13,76
2,150,0,2,72
10,150,0,44,518
4,300,0,4,263
6,150,0,6,245
1.5,600,0,2,68
12,2500,1,37,7542
2,2500,1,11,162
1.5,2500,1,2,137
1.5,2500,1,2,138
1.5,2500,1,2,138
0.5,5000,0,0.5,10
2,150,1,2,92
2,150,1,2,92
2,150,1,2,92
10,300,0,20,906
10,150,0,20,841
10,300,0,20,906
10,150,0,20,841
10,300,0,20,906
10,300,0,20,906
10,150,0,20,841
10,300,0,20,906
10,300,0,20,906
10,150,0,20,841
10,300,0,20,906
10,300,0,20,906
2,300,0,2,75
2,300,0,2,75
1.5,600,0,2,69
14,2500,1,112,8495
10,2500,0,20,4002
2,300,0,2,74
6,150,1,6,282
2,2500,1,2,263
2,2500,1,2,269
2,2500,1,11,163
2,2500,1,11,162
2,150,0,2,72
3,300,0,3,70
3,300,0,3,69
3,300,0,3,69
3,150,0,3,77
3,150,1,3,97
3,150,1,3,97
3,150,1,3,97
3,150,1,3,97
6,150,0,22,143
6,150,0,22,143
2,150,1,2,92
2,150,1,2,92
4,150,1,4,132
2,150,0,2,72
2,150,0,2,72
6,150,0,6,245
4,150,0,4,132
2,150,0,5,39
1,150,0,5,30
2,2500,1,2,234
0.5,6000,0,0.5,10
3,150,0,2,97
2,150,0,2,73
